YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
2010,17.2,20.2,25.6,29.2,30.3,29.3,27.2,26.7,26.1,25.3,22.2,17.5,28.4,27.7,24.5,17.9,24.7
2011,16.5,19.6,24.0,26.8,29.8,28.5,27.0,26.4,26.1,25.1,21.8,18.3,26.9,27.3,24.3,17.9,24.2
2012,16.3,19.2,23.7,27.4,29.9,29.7,27.2,26.2,26.1,24.3,20.8,18.4,27.0,27.7,23.7,18.2,24.1
2013,16.8,19.5,24.0,27.3,30.0,28.2,26.5,26.0,26.3,24.7,20.7,17.7,27.1,26.9,23.9,17.9,24.0
2014,17.1,18.8,23.0,27.3,29.1,30.0,27.5,26.7,26.1,24.9,21.4,17.4,26.5,28.1,24.1,18.0,24.1
2015,16.7,19.9,23.0,26.7,29.9,28.5,27.1,26.6,26.6,25.4,21.9,18.3,26.5,27.4,24.6,18.9,24.2
2016,17.6,20.8,24.8,28.5,29.9,29.3,26.9,26.5,26.3,24.9,21.0,18.8,27.7,27.6,24.1,18.8,24.6
2017,17.4,20.3,23.8,28.2,30.1,28.7,26.9,26.7,26.6,25.4,21.2,18.4,27.3,27.4,24.4,18.7,24.5
2018,17.4,20.4,24.6,27.7,29.7,28.9,26.8,26.4,26.1,24.9,21.4,17.5,27.3,27.4,24.1,17.9,24.3
2019,16.8,19.3,23.3,28.2,29.9,30.1,27.4,26.5,26.2,24.5,21.7,17.3,27.1,28.0,24.1,17.9,24.3
2020,16.7,19.6,23.1,27.2,29.5,28.3,27.5,26.6,26.8,25.4,21.0,18.0,26.6,27.4,24.4,18.6,24.1
2021,17.7,20.3,24.7,27.5,28.7,28.2,27.4,26.8,26.3,25.2,21.2,17.8,27.0,27.5,24.3,17.8,24.3
2022,16.6,19.1,25.4,28.9,29.8,29.1,26.7,26.6,26.4,24.5,21.1,18.8,28.0,27.5,24.0,99.0,24.4
